"palavras","sentimentos"
"recuperaram","positivo"
"recuperarao","positivo"
"recuperarem","positivo"
"recuperaria","positivo"
"recuperarmos","positivo"
"recuperasse","positivo"
"recuperava","positivo"
"recuperaveis","positivo"
"recuperavel","positivo"
"recupere","positivo"
"recuperem","positivo"
"recuperou","positivo"
"reestruturacao","positivo"
"reestruturar","positivo"
"reforca","positivo"
"reforcado","positivo"
"reforcando","positivo"
"reforcar","positivo"
"reforco","positivo"
"reformas","positivo"
"regularizar","positivo"
"relevancia","positivo"
"relevante","positivo"
"relevantes","positivo"
"remunera","positivo"
"remuneracao","positivo"
"remuneracoes","positivo"
"rende","positivo"
"rendem","positivo"
"rendendo","positivo"
"render","positivo"
"renderam","positivo"
"renderao","positivo"
"renderia","positivo"
"rendeu","positivo"
"rendimento","positivo"
"rendimentos","positivo"
"renovavel","positivo"
"rentabilidade","positivo"
"rentabiliza","positivo"
"rentabilizar","positivo"
"rentavel","positivo"
"reparacao","positivo"
"reparacoes","positivo"
"reparado","positivo"
"resolvido","positivo"
"resolvidos","positivo"
"respeitado","positivo"
"respeitados","positivo"
"respeitam","positivo"
"respeitar","positivo"
"respeitaveis","positivo"
"respeitavel","positivo"
"restauracao","positivo"
"retomada","positivo"
"retomadas","positivo"
"retomado","positivo"
"retomados","positivo"
"retomam","positivo"
"retomar","positivo"
"reverter","positivo"
"reverteram","positivo"
"revertida","positivo"
"revertidas","positivo"
"revertido","positivo"
"riqueza","positivo"
"riquezas","positivo"
"salto","positivo"
"saltos","positivo"
"saltou","positivo"
"salvar","positivo"
"salvaram","positivo"
"sanada","positivo"
"sanadas","positivo"
"sanado","positivo"
"sanados","positivo"
"sanar","positivo"
"satisfatoriamente","positivo"
"satisfeita","positivo"
"satisfeitas","positivo"
"satisfeito","positivo"
"satisfeitos","positivo"
"saudavel","positivo"
"seguro","positivo"
"seriedade","positivo"
"significativa","positivo"
"significativamente","positivo"
"significativo","positivo"
"significativos","positivo"
"sobem","positivo"
"solidariedade","positivo"
"solidez","positivo"
"subida","positivo"
"subir","positivo"
"subiram","positivo"
"subirao","positivo"
"subirem","positivo"
"subiria","positivo"
"subiriam","positivo"
"subisse","positivo"
"subissem","positivo"
"subsidios","positivo"
"sucedida","positivo"
"sucedidas","positivo"
"sucedido","positivo"
"sucedidos","positivo"
"sucesso","positivo"
"sucessos","positivo"
"supera","positivo"
"superacao","positivo"
"superada","positivo"
"superadas","positivo"
"superado","positivo"
"superam","positivo"
"superando","positivo"
"superar","positivo"
"superaram","positivo"
"superarem","positivo"
"superaria","positivo"
"superasse","positivo"
"superava","positivo"
"superavam","positivo"
"superavit","positivo"
"superavitaria","positivo"
"superavits","positivo"
"supere","positivo"
"superem","positivo"
"superior","positivo"
"superiores","positivo"
"superioridade","positivo"
"superou","positivo"
"suprimento","positivo"
"sustentabilidade","positivo"
"sustentaveis","positivo"
"sustentavel","positivo"
"transformacao","positivo"
"transformacoes","positivo"
"transformados","positivo"
"transformam","positivo"
"transformando","positivo"
"transformar","positivo"
"transformou","positivo"
"transparencia","positivo"
"transparentes","positivo"
"triunfar","positivo"
"triunfo","positivo"
"triunfos","positivo"
"triunfou","positivo"
"valiosa","positivo"
"valiosas","positivo"
"valioso","positivo"
"valiosos","positivo"
"valoriza","positivo"
"valorizacao","positivo"
"valorizacoes","positivo"
"valorizada","positivo"
"valorizadas","positivo"
"valorizado","positivo"
"valorizados","positivo"
"valorizam","positivo"
"valorizamos","positivo"
"valorizando","positivo"
"valorizar","positivo"
"valorizaram","positivo"
"valorizasse","positivo"
"valorizassem","positivo"
"valorize","positivo"
"valorizem","positivo"
"valorizou","positivo"
"vantagem","positivo"
"vantagens","positivo"
"vantajosa","positivo"
"vantajosas","positivo"
"vantajoso","positivo"
"vantajosos","positivo"
"vence","positivo"
"vencedor","positivo"
"vencedora","positivo"
"vencedoras","positivo"
"vencedores","positivo"
"vencem","positivo"
"vencendo","positivo"
"vencer","positivo"
"vencera","positivo"
"venceram","positivo"
"venceu","positivo"
"abaixo","negativo"
"abaixou","negativo"
"abala","negativo"
"abalada","negativo"
"abaladas","negativo"
"abalado","negativo"
"abalados","negativo"
"abalam","negativo"
"abalar","negativo"
"abalaram","negativo"
"abalo","negativo"
"abalos","negativo"
"abalou","negativo"
"abandona","negativo"
"abandonada","negativo"
"abandonadas","negativo"
"abandonado","negativo"
"abandonados","negativo"
"abandonam","negativo"
"abandonamos","negativo"
"abandonando","negativo"
"abandonar","negativo"
"abandonaram","negativo"
"abandonarem","negativo"
"abandonaria","negativo"
"abandonasse","negativo"
"abandone","negativo"
"abandonem","negativo"
"abandono","negativo"
"abater","negativo"
"abateu","negativo"
"abatido","negativo"
"abdicacao","negativo"
"abdicado","negativo"
"abdicam","negativo"
"abdicando","negativo"
"abdicar","negativo"
"abdicaram","negativo"
"abdicarem","negativo"
"abdicou","negativo"
"abismo","negativo"
"abismos","negativo"
"aborrece","negativo"
"aborrecer","negativo"
"aborreceu","negativo"
"aborrecido","negativo"
"aborrecimento","negativo"
"aborrecimentos","negativo"
"abrupta","negativo"
"abruptamente","negativo"
"abruptas","negativo"
"abrupto","negativo"
"abruptos","negativo"
"abusa","negativo"
"abusada","negativo"
"abusadas","negativo"
"abusado","negativo"
"abusam","negativo"
"abusando","negativo"
"abusar","negativo"
"abusaram","negativo"
"abusiva","negativo"
"abusivamente","negativo"
"abusivas","negativo"
"abusivo","negativo"
"abusivos","negativo"
"abuso","negativo"
"abusos","negativo"
"abusou","negativo"
"acaba","negativo"
"acabada","negativo"
"acabado","negativo"
"acabados","negativo"
"acabam","negativo"
"acabando","negativo"
"acabar","negativo"
"acabaram","negativo"
"acabaria","negativo"
"acabasse","negativo"
"acabassem","negativo"
"acabava","negativo"
"acabavam","negativo"
"acabou","negativo"
"acarreta","negativo"
"acarretar","negativo"
"acidental","negativo"
"acidente","negativo"
"acidentes","negativo"
"acusa","negativo"
"acusacao","negativo"
"acusacoes","negativo"
"acusada","negativo"
"acusadas","negativo"
"acusado","negativo"
"acusador","negativo"
"acusadores","negativo"
"acusados","negativo"
"acusam","negativo"
"acusando","negativo"
"acusar","negativo"
"acusaram","negativo"
"acusatoria","negativo"
"acusatorio","negativo"
"acusava","negativo"
"acusavam","negativo"
"acusou","negativo"
"adia","negativo"
"adiada","negativo"
"adiadas","negativo"
"adiado","negativo"
"adiados","negativo"
"adiam","negativo"
"adiamento","negativo"
"adiamentos","negativo"
"adiando","negativo"
"adiar","negativo"
"adiaram","negativo"
"adiou","negativo"
"adulteracao","negativo"
"adulterados","negativo"
"adulteras","negativo"
"adversa","negativo"
"adversario","negativo"
"adversarios","negativo"
"adversas","negativo"
"adversidade","negativo"
"adversidades","negativo"
"adverso","negativo"
"adversos","negativo"
"adverte","negativo"
"advertencia","negativo"
"advertencias","negativo"
"advertia","negativo"
"advertida","negativo"
"advertidas","negativo"
"advertido","negativo"
"advertidos","negativo"
"advertindo","negativo"
"advertir","negativo"
"advertira","negativo"
"advertiram","negativo"
"advertiu","negativo"
"afasta","negativo"
"afastados","negativo"
"afastamento","negativo"
"afastamos","negativo"
"afastando","negativo"
"afastar","negativo"
"afastara","negativo"
"afastaram","negativo"
"afastarem","negativo"
"afastaria","negativo"
"afastasse","negativo"
"afaste","negativo"
"afastou","negativo"
"afeta","negativo"
"afetada","negativo"
"afetadas","negativo"
"afetado","negativo"
"afetados","negativo"
"afetam","negativo"
"afetando","negativo"
"afetar","negativo"
"afetara","negativo"
"afetaram","negativo"
"afetarao","negativo"
"afetaria","negativo"
"afete","negativo"
"afetem","negativo"
"afetou","negativo"
"aflicao","negativo"
"aflicoes","negativo"
"aflige","negativo"
"afligem","negativo"
"aflita","negativo"
"aflito","negativo"
"aflitos","negativo"
"afunda","negativo"
"afundado","negativo"
"afundam","negativo"
"afundamento","negativo"
"afundando","negativo"
"afundar","negativo"
"afundou","negativo"
"agitacao","negativo"
"agrava","negativo"
"agravada","negativo"
"agravadas","negativo"
"agravado","negativo"
"agravados","negativo"
"agravam","negativo"
"agravamento","negativo"
"agravando","negativo"
"agravante","negativo"
"agravantes","negativo"
"agravar","negativo"
"agravara","negativo"
"agravaram","negativo"
"agravaria","negativo"
"agrave","negativo"
"agravo","negativo"
"agravos","negativo"
"agravou","negativo"
"agredida","negativo"
"agredidas","negativo"
"agredido","negativo"
"agredidos","negativo"
"agredindo","negativo"
"agredir","negativo"
"agrediram","negativo"
"agrediu","negativo"
"agressao","negativo"
"agressiva","negativo"
"agressivamente","negativo"
"agressivas","negativo"
"agressividade","negativo"
"agressivo","negativo"
"agressivos","negativo"
"agressoes","negativo"
"agressor","negativo"
"agressores","negativo"
"agride","negativo"
"agridem","negativo"
"alarmado","negativo"
"alarmados","negativo"
"alarmante","negativo"
"alarmantes","negativo"
"alerta","negativo"
"alertado","negativo"
"alertar","negativo"
"alertaram","negativo"
"alertava","negativo"
"alertavam","negativo"
"alertou","negativo"
"aliciamento","negativo"
"ameaca","negativo"
"ameacada","negativo"
"ameacadas","negativo"
"ameacado","negativo"
"ameacador","negativo"
"ameacadora","negativo"
"ameacadoras","negativo"
"ameacadores","negativo"
"ameacados","negativo"
"ameacam","negativo"
"ameacando","negativo"
"ameacar","negativo"
"ameacaram","negativo"
"ameacarem","negativo"
"ameacaria","negativo"
"ameacas","negativo"
"ameacava","negativo"
"ameacavam","negativo"
"ameacou","negativo"
"angustia","negativo"
"angustiante","negativo"
"angustiantes","negativo"
"angustias","negativo"
"anomalia","negativo"
"anomalias","negativo"
"anormais","negativo"
"anormal","negativo"
"anormalidade","negativo"
"anormalidades","negativo"
"anormalmente","negativo"
"ansiedade","negativo"
"ansiedades","negativo"
"ansiosamente","negativo"
"ansiosos","negativo"
"anula","negativo"
"anulacao","negativo"
"anulada","negativo"
"anuladas","negativo"
"anulado","negativo"
"anulados","negativo"
"anulam","negativo"
"anulando","negativo"
"anular","negativo"
"anulara","negativo"
"anularam","negativo"
"apelacao","negativo"
"apelacoes","negativo"
"apelar","negativo"
"apelaram","negativo"
"apelava","negativo"
"apelo","negativo"
"apelos","negativo"
"apelou","negativo"
"apertado","negativo"
"apertados","negativo"
"apertando","negativo"
"apertar","negativo"
"apertaram","negativo"
"aperto","negativo"
"apertos","negativo"
"apertou","negativo"
"apreendem","negativo"
"apreendemos","negativo"
"apreender","negativo"
"apreenderam","negativo"
"apreendeu","negativo"
"apreendida","negativo"
"apreendidas","negativo"
"apreendido","negativo"
"apreendidos","negativo"
"apreensao","negativo"
"apreensiva","negativo"
"apreensivo","negativo"
"apreensivos","negativo"
"apreensoes","negativo"
"aquem","negativo"
"arrisca","negativo"
"arriscada","negativo"
"arriscadas","negativo"
"arriscado","negativo"
"arriscados","negativo"
"arriscam","negativo"
"arriscando","negativo"
"arriscar","negativo"
"arriscaram","negativo"
"arriscaria","negativo"
"arrisco","negativo"
"arriscou","negativo"
"assalta","negativo"
"assaltada","negativo"
"assaltado","negativo"
"assaltados","negativo"
"assaltante","negativo"
"assaltantes","negativo"
"assaltar","negativo"
"assalto","negativo"
"assaltos","negativo"
"assaltou","negativo"
"assassinados","negativo"
"assassinar","negativo"
"assassinaram","negativo"
"assassinato","negativo"
"assassinatos","negativo"
"assediada","negativo"
"assediado","negativo"
"assediados","negativo"
"assedio","negativo"
"assusta","negativo"
"assustada","negativo"
"assustadas","negativo"
"assustado","negativo"
"assustador","negativo"
"assustadora","negativo"
"assustadoramente","negativo"
"assustadoras","negativo"
"assustadores","negativo"
"assustados","negativo"
"assustam","negativo"
"assustando","negativo"
"assustar","negativo"
"assustaram","negativo"
"assustava","negativo"
"ataca","negativo"
"atacada","negativo"
"atacadas","negativo"
"atacou","negativo"
"ataque","negativo"
"ataques","negativo"
"atentados","negativo"
"atingir","negativo"
"atingiram","negativo"
"atingiu","negativo"
"atrapalhar","negativo"
"atrasada","negativo"
"atrasadas","negativo"
"atrasado","negativo"
"atrasados","negativo"
"atrasam","negativo"
"atrasando","negativo"
"atrasar","negativo"
"atrasara","negativo"
"atrasaram","negativo"
"atraso","negativo"
"atrasos","negativo"
"atrasou","negativo"
"atrito","negativo"
"atritos","negativo"
"atrocidade","negativo"
"atrocidades","negativo"
"ausencia","negativo"
"ausencias","negativo"
"ausente","negativo"
"ausentes","negativo"
"ausentou","negativo"
"autuacao","negativo"
"autuacoes","negativo"
"autuada","negativo"
"autuadas","negativo"
"autuado","negativo"
"autuados","negativo"
"autuar","negativo"
"aversao","negativo"
"avessa","negativo"
"avessas","negativo"
"avesso","negativo"
"avessos","negativo"
"baixa","negativo"
"baixada","negativo"
"baixadas","negativo"
"baixado","negativo"
"baixando","negativo"
"baixaram","negativo"
"baixas","negativo"
"baixissima","negativo"
"baixissimo","negativo"
"baixo","negativo"
"baixos","negativo"
"banal","negativo"
"banalidade","negativo"
"banalizacao","negativo"
"banalizar","negativo"
"barreira","negativo"
"barreiras","negativo"
"bloqueada","negativo"
"bloqueadas","negativo"
"bloqueado","negativo"
"bloqueadores","negativo"
"bloqueados","negativo"
"bloqueando","negativo"
"bloquear","negativo"
"bloqueio","negativo"
"bloqueios","negativo"
"boicotado","negativo"
"boicotando","negativo"
"boicotar","negativo"
"boicotaram","negativo"
"boicote","negativo"
"briga","negativo"
"brigam","negativo"
"brigar","negativo"
"brigaram","negativo"
"brigas","negativo"
"brutal","negativo"
"brutalmente","negativo"
"cai","negativo"
"caiam","negativo"
"caido","negativo"
"caindo","negativo"
"cair","negativo"
"cairam","negativo"
"cairao","negativo"
"cairem","negativo"
"cairia","negativo"
"cairiam","negativo"
"caisse","negativo"
"caiu","negativo"
"calamidade","negativo"
"calamidades","negativo"
"calotes","negativo"
"calunias","negativo"
"cancelada","negativo"
"canceladas","negativo"
"cancelado","negativo"
"cancelados","negativo"
"cancelamento","negativo"
"cancelamentos","negativo"
"cancelar","negativo"
"cancelou","negativo"
"caotica","negativo"
"caotico","negativo"
"carencia","negativo"
"carencias","negativo"
"cassados","negativo"
"cassar","negativo"
"cassaram","negativo"
"catastrofe","negativo"
"catastrofes","negativo"
"catastrofica","negativo"
"catastroficas","negativo"
"catastrofico","negativo"
"catastroficos","negativo"
"censura","negativo"
"censurado","negativo"
"censurar","negativo"
"censuraram","negativo"
"censuras","negativo"
"censurou","negativo"
"chantagea","negativo"
"chantageado","negativo"
"chantagear","negativo"
"chantagem","negativo"
"chantagens","negativo"
"clandestino","negativo"
"clandestinos","negativo"
"coacao","negativo"
"coacoes","negativo"
"coagindo","negativo"
"cobram","negativo"
"cobranca","negativo"
"cobrancas","negativo"
"cobrar","negativo"
"cobraram","negativo"
"coercao","negativo"
"coercitiva","negativo"
"coercitivas","negativo"
"coercitivo","negativo"
"coercitivos","negativo"
"colapso","negativo"
"colapsos","negativo"
"colisao","negativo"
"colisoes","negativo"
"complexa","negativo"
"complexas","negativo"
"complexidade","negativo"
"complexo","negativo"
"complexos","negativo"
"complica","negativo"
"complicacao","negativo"
"complicacoes","negativo"
"complicada","negativo"
"complicadas","negativo"
"complicadissima","negativo"
"complicado","negativo"
"complicador","negativo"
"complicadores","negativo"
"complicados","negativo"
"complicam","negativo"
"complicando","negativo"
"complicar","negativo"
"complicara","negativo"
"complicaria","negativo"
"complicou","negativo"
"compromete","negativo"
"comprometem","negativo"
"comprometer","negativo"
"compulsiva","negativo"
"condena","negativo"
"condenacao","negativo"
"condenacoes","negativo"
"condenada","negativo"
"condenadas","negativo"
"condenado","negativo"
"condenados","negativo"
"condenam","negativo"
"condenamos","negativo"
"condenando","negativo"
"condenar","negativo"
"condenara","negativo"
"condenaram","negativo"
"condenasse","negativo"
"condenatoria","negativo"
"condenatorias","negativo"
"condenatorio","negativo"
"condenava","negativo"
"condenavam","negativo"
"condenaveis","negativo"
"condenavel","negativo"
"condenou","negativo"
"confiscadas","negativo"
"confiscado","negativo"
"confiscados","negativo"
"confiscar","negativo"
"confiscaram","negativo"
"confisco","negativo"
"conflitantes","negativo"
"conflito","negativo"
"conflitos","negativo"
"confrontacao","negativo"
"confrontada","negativo"
"confrontado","negativo"
"confrontados","negativo"
"confrontam","negativo"
"confrontando","negativo"
"confrontantes","negativo"
"confrontar","negativo"
"confronto","negativo"
"confrontos","negativo"
"confrontou","negativo"
"confunde","negativo"
"confundem","negativo"
"confundia","negativo"
"confundiam","negativo"
"confundido","negativo"
"confundindo","negativo"
"confundir","negativo"
"confundiram","negativo"
"confundiu","negativo"
"confusa","negativo"
"confusao","negativo"
"confusas","negativo"
"confuso","negativo"
"confusoes","negativo"
"coniventes","negativo"
"conluio","negativo"
"conluios","negativo"
"conspira","negativo"
"conspiracao","negativo"
"conspiracoes","negativo"
"conspiram","negativo"
"conspirando","negativo"
"conspirar","negativo"
"conspiratorio","negativo"
"constrange","negativo"
"constrangedor","negativo"
"constrangedora","negativo"
"constrangedoras","negativo"
"constrangedores","negativo"
"constrangem","negativo"
"constrangendo","negativo"
"constranger","negativo"
"constrangeu","negativo"
"constrangida","negativo"
"constrangido","negativo"
"constrangidos","negativo"
"constrangimento","negativo"
"constrangimentos","negativo"
"contamina","negativo"
"contaminacao","negativo"
"contaminada","negativo"
"contaminadas","negativo"
"contaminado","negativo"
"contaminados","negativo"
"contaminar","negativo"
"contaminou","negativo"
"contencao","negativo"
"contencioso","negativo"
"contenciosos","negativo"
"contesta","negativo"
"contestacao","negativo"
"contestacoes","negativo"
"contestada","negativo"
"contestadas","negativo"
"contestado","negativo"
"contingencia","negativo"
"contingenciados","negativo"
"contingenciar","negativo"
"contra","negativo"
"contrabandeados","negativo"
"contrabandear","negativo"
"contrabando","negativo"
"contracao","negativo"
"contradicao","negativo"
"contradicoes","negativo"
"contraditoria","negativo"
"contraditoriamente","negativo"
"contraditorias","negativo"
"contraditorio","negativo"
"contraditorios","negativo"
"contradiz","negativo"
"contrapoe","negativo"
"contrapor","negativo"
"contraposicao","negativo"
"contraria","negativo"
"contrariam","negativo"
"contrariamente","negativo"
"contrariando","negativo"
"contrariar","negativo"
"contrariaram","negativo"
"contrariaria","negativo"
"contrarias","negativo"
"contrariava","negativo"
"contrariedade","negativo"
"contrario","negativo"
"contrarios","negativo"
"contrariou","negativo"
"contraventor","negativo"
"controversa","negativo"
"controversia","negativo"
"controversias","negativo"
"controverso","negativo"
"contundente","negativo"
"contundentes","negativo"
"conturbado","negativo"
"corroendo","negativo"
"corroer","negativo"
"corroi","negativo"
"corrompe","negativo"
"corrompem","negativo"
"corromper","negativo"
"corrompeu","negativo"
"corrompida","negativo"
"corrompido","negativo"
"corrompidos","negativo"
"corrupcao","negativo"
"corrupta","negativo"
"corrupto","negativo"
"corruptor","negativo"
"corruptores","negativo"
"corruptos","negativo"
"corta","negativo"
"cortada","negativo"
"cortadas","negativo"
"cortado","negativo"
"cortados","negativo"
"cortam","negativo"
"cortamos","negativo"
"cortando","negativo"
"cortar","negativo"
"cortaram","negativo"
"corte","negativo"
"cortes","negativo"
"credor","negativo"
"credoras","negativo"
"credores","negativo"
"crime","negativo"
"crimes","negativo"
"criminais","negativo"
"criminal","negativo"
"criminalidade","negativo"
"criminalizacao","negativo"
"criminalmente","negativo"
"criminosa","negativo"
"criminosas","negativo"
"criminoso","negativo"
"criminosos","negativo"
"crise","negativo"
"crises","negativo"
"critica","negativo"
"criticada","negativo"
"criticadas","negativo"
"criticado","negativo"
"criticados","negativo"
"criticam","negativo"
"criticando","negativo"
"criticar","negativo"
"criticara","negativo"
"criticaram","negativo"
"criticarem","negativo"
"criticas","negativo"
"criticava","negativo"
"criticavam","negativo"
"critico","negativo"
"criticos","negativo"
"criticou","negativo"
"cuidado","negativo"
"culpa","negativo"
"culpabilidade","negativo"
"culpada","negativo"
"culpado","negativo"
"culpados","negativo"
"culpam","negativo"
"culpando","negativo"
"culpar","negativo"
"culparam","negativo"
"culpas","negativo"
"culposa","negativo"
"culposo","negativo"
"culpou","negativo"
"custado","negativo"
"custam","negativo"
"custando","negativo"
"custar","negativo"
"custara","negativo"
"custaram","negativo"
"custarao","negativo"
"custaria","negativo"
"custas","negativo"
"custava","negativo"
"custavam","negativo"
"custo","negativo"
"custos","negativo"
"danificam","negativo"
"dano","negativo"
"danos","negativo"
"danosa","negativo"
"danoso","negativo"
"decadencia","negativo"
"decepcao","negativo"
"decepciona","negativo"
"decepcionada","negativo"
"decepcionado","negativo"
"decepcionados","negativo"
"decepcionante","negativo"
"decepcionantes","negativo"
"decepcionar","negativo"
"decepcionaram","negativo"
"decepcionou","negativo"
"decepcoes","negativo"
"declinante","negativo"
"declinio","negativo"
"declinou","negativo"
"decrescente","negativo"
"decrescimo","negativo"
"defeito","negativo"
"defeitos","negativo"
"defeituosas","negativo"
"defeituoso","negativo"
"defeituosos","negativo"
"deficiencia","negativo"
"deficiencias","negativo"
"deficiente","negativo"
"deficientes","negativo"
"deficit","negativo"
"deficitaria","negativo"
"deficitarias","negativo"
"deficitario","negativo"
"deficitarios","negativo"
"deficits","negativo"
"deformacoes","negativo"
"deformadores","negativo"
"degenera","negativo"
"degeneracao","negativo"
"degenerada","negativo"
"degenerativa","negativo"
"degenerativas","negativo"
"degradacao","negativo"
"degradada","negativo"
"degradadas","negativo"
"degradado","negativo"
"degradados","negativo"
"degradam","negativo"
"degradando","negativo"
"degradante","negativo"
"degradantes","negativo"
"degradar","negativo"
"degradou","negativo"
"delacao","negativo"
"delacoes","negativo"
"delinquencia","negativo"
"delinquente","negativo"
"delinquentes","negativo"
"delito","negativo"
"delitos","negativo"
"delituosa","negativo"
"delituosas","negativo"
"delituoso","negativo"
"delituosos","negativo"
"demagogico","negativo"
"demissao","negativo"
"demissoes","negativo"
"demitem","negativo"
"demitido","negativo"
"demitidos","negativo"
"demitindo","negativo"
"demitir","negativo"
"demitiram","negativo"
"demitiu","negativo"
"demolicao","negativo"
"demolidas","negativo"
"demoliram","negativo"
"demora","negativo"
"demorada","negativo"
"demorado","negativo"
"demoram","negativo"
"demorando","negativo"
"demorar","negativo"
"demorou","negativo"
"denegrir","negativo"
"denegriu","negativo"
"depreciacao","negativo"
"depreciativo","negativo"
"depreciativos","negativo"
"depressao","negativo"
"deprimem","negativo"
"deprimente","negativo"
"deprimentes","negativo"
"deprimidos","negativo"
"derrota","negativo"
"derrotada","negativo"
"derrotadas","negativo"
"derrotado","negativo"
"derrotados","negativo"
"derrotando","negativo"
"derrotar","negativo"
"derrotaram","negativo"
"derrotas","negativo"
"derrotou","negativo"
"derruba","negativo"
"derrubada","negativo"
"derrubadas","negativo"
"derrubado","negativo"
"derrubados","negativo"
"derrubam","negativo"
"derrubando","negativo"
"derrubar","negativo"
"derrubara","negativo"
"derrubaram","negativo"
"derrubaria","negativo"
"derrubou","negativo"
"desabastecimento","negativo"
"desabou","negativo"
"desabrigadas","negativo"
"desabrigados","negativo"
"desaceleracao","negativo"
"desaceleradas","negativo"
"desacelerado","negativo"
"desacelerando","negativo"
"desacelerar","negativo"
"desaceleraram","negativo"
"desacelerou","negativo"
"desacerto","negativo"
"desacertos","negativo"
"desacordo","negativo"
"desacordos","negativo"
"desacreditado","negativo"
"desacreditados","negativo"
"desacreditar","negativo"
"desagrada","negativo"
"desagradado","negativo"
"desagradam","negativo"
"desagradando","negativo"
"desagradar","negativo"
"desagradaram","negativo"
"desagradaveis","negativo"
"desagradavel","negativo"
"desagrado","negativo"
"desagradou","negativo"
"desagravo","negativo"
"desajuste","negativo"
"desajustes","negativo"
"desaparecer","negativo"
"desaparecimento","negativo"
"desaprova","negativo"
"desaprovacao","negativo"
"desaprovam","negativo"
"desaquecimento","negativo"
"desastre","negativo"
"desastres","negativo"
"desastrosa","negativo"
"desastrosas","negativo"
"desastroso","negativo"
"desastrosos","negativo"
"desatencoes","negativo"
"desativacao","negativo"
"desativada","negativo"
"desativadas","negativo"
"desativado","negativo"
"desativados","negativo"
"desatualizados","negativo"
"desavenca","negativo"
"desavencas","negativo"
"descartada","negativo"
"descartadas","negativo"
"descartado","negativo"
"descartados","negativo"
"descartam","negativo"
"descartamos","negativo"
"descartando","negativo"
"descartar","negativo"
"descartaram","negativo"
"descartava","negativo"
"descaso","negativo"
"desce","negativo"
"descem","negativo"
"descer","negativo"
"desceram","negativo"
"desceu","negativo"
"descompasso","negativo"
"desconfiou","negativo"
"desconfortaveis","negativo"
"desconfortavel","negativo"
"desconforto","negativo"
"desconfortos","negativo"
"desconhece","negativo"
"desconhecem","negativo"
"desconhecemos","negativo"
"desconhecendo","negativo"
"desconhecer","negativo"
"desconhecia","negativo"
"desconheciam","negativo"
"desconhecimento","negativo"
"desconsidera","negativo"
"desconsideracao","negativo"
"desconsiderando","negativo"
"descontada","negativo"
"descontadas","negativo"
"descontado","negativo"
"descontados","negativo"
"descontando","negativo"
"descontar","negativo"
"descontentamento","negativo"
"descontinuidade","negativo"
"desconto","negativo"
"descontos","negativo"
"descontrolada","negativo"
"descontrolado","negativo"
"descontrole","negativo"
"descredito","negativo"
"descrenca","negativo"
"descrente","negativo"
"descrentes","negativo"
"descuidado","negativo"
"descuidar","negativo"
"descuido","negativo"
"descumpre","negativo"
"descumprem","negativo"
"descumprida","negativo"
"descumpridas","negativo"
"descumprido","negativo"
"descumprimento","negativo"
"descumprimentos","negativo"
"descumprir","negativo"
"descumpriram","negativo"
"descumprirem","negativo"
"descumpriu","negativo"
"desembolsado","negativo"
"desembolsados","negativo"
"desembolsar","negativo"
"desembolso","negativo"
"desembolsos","negativo"
"desembolsou","negativo"
"desempregado","negativo"
"desempregados","negativo"
"desemprego","negativo"
"desentendeu","negativo"
"desentendimento","negativo"
"desentendimentos","negativo"
"desequilibra","negativo"
"desequilibrada","negativo"
"desequilibradas","negativo"
"desequilibrado","negativo"
"desequilibrando","negativo"
"desequilibrar","negativo"
"desequilibrio","negativo"
"desequilibrios","negativo"
"desequilibrou","negativo"
"desesperada","negativo"
"desesperadamente","negativo"
"desesperadas","negativo"
"desesperado","negativo"
"desesperadora","negativo"
"desesperados","negativo"
"desesperanca","negativo"
"desespero","negativo"
"desestabiliza","negativo"
"desestabilizacao","negativo"
"desestabilizador","negativo"
"desestabilizadora","negativo"
"desestabilizadoras","negativo"
"desestabilizar","negativo"
"desestatizacao","negativo"
"desestimula","negativo"
"desestimulado","negativo"
"desestimulados","negativo"
"desestimulam","negativo"
"desestimulando","negativo"
"desestimular","negativo"
"desestimularia","negativo"
"desestimulo","negativo"
"desestimulou","negativo"
"desestruturacao","negativo"
"desestruturadas","negativo"
"desfalques","negativo"
"desfavoraveis","negativo"
"desfavoravel","negativo"
"desfavorecida","negativo"
"desfavorecidos","negativo"
"desfaz","negativo"
"desfazem","negativo"
"desfazendo","negativo"
"desfazer","negativo"
"desgasta","negativo"
"desgastada","negativo"
"desgastadas","negativo"
"desgastado","negativo"
"desgastam","negativo"
"desgastando","negativo"
"desgastante","negativo"
"desgastantes","negativo"
"desgastar","negativo"
"desgaste","negativo"
"desgastes","negativo"
"desgastou","negativo"
"desgraca","negativo"
"desgracas","negativo"
"desiguais","negativo"
"desigual","negativo"
"desigualdade","negativo"
"desigualdades","negativo"
"desigualmente","negativo"
"desinformados","negativo"
"desinteressado","negativo"
"desinteressados","negativo"
"desinteressante","negativo"
"desinteresse","negativo"
"desiste","negativo"
"desistem","negativo"
"desistencia","negativo"
"desistencias","negativo"
"desistido","negativo"
"desistindo","negativo"
"desistir","negativo"
"desistiram","negativo"
"desistirao","negativo"
"desistirem","negativo"
"desistiu","negativo"
"desleais","negativo"
"desleal","negativo"
"deslealdade","negativo"
"desligado","negativo"
"desligados","negativo"
"desligamento","negativo"
"desligar","negativo"
"deslizamento","negativo"
"deslizamentos","negativo"
"deslizar","negativo"
"deslize","negativo"
"deslizes","negativo"
"desmoraliza","negativo"
"desmoralizacao","negativo"
"desmoralizada","negativo"
"desmoralizadas","negativo"
